invaders,Cg,Cp,Lc,Lw ,Mc ,Nv,Pe,Sc,Tw,Vm
Cg,5.94924861020747,3.60139816832694,2.6753238777132,28.1259828499544,58.345068797842,26.1720295776925,7.63692034071968,11.9812235754064,37.3104202371646,26.0059646562563
Cp,22.8008701188455,9.21376134669116,26.521452924158,418.43704429522,390.452592374728,161.014844348395,238.765098703253,143.606542372118,592.249431202346,203.692960689002
Lc,127.924915204894,44.5133464431127,5.77710930661674,138.024066534491,214.307227840641,50.9128168655017,30.5395137118453,72.7899503458205,115.087424159602,86.6793570622493
Lw ,1.92079700333978,3.1558532168405,7.17458737019818,4.90075419026393,8.48998454486387,3.23858789412968,12.7255352117215,2.98153727344421,26.3723558103104,20.9184054856683
Mc ,0.067282228639724,0.481734978374489,0.067323003169556,3.13038903543302,3.19454122647892,0.358298792387242,0.559312110635874,0.403886190335168,1.73261231231088,1.770771316894
Nv,0.156382655399941,3.67405165668949,3.6580926769544,4.8466188294758,7.13162711417294,1.03919385799575,7.07289493414298,1.60765593806674,6.11665791634232,3.2206015597174
Pe,23.0478596190354,18.8393697179161,11.2547885769595,100.47107758941,90.0072910412397,36.2896910586027,26.0438449968049,22.0233331396092,143.576702008486,24.5231092497807
Sc,5.7564826281396,28.8530823953811,22.0439186443993,204.125246994443,225.541019686247,182.003228989765,35.5394300990406,13.8198784646423,127.411558848279,51.0730536352273
Tw,1.11666605185615,1.25087961484815,1.61412284298611,0.782618352196418,3.74137317051378,2.03002774870954,1.05197078275192,2.05619796162185,3.42341589937321,1.67654000990745
Vm,25.1142987963023,36.7758742774619,10.5504654775477,149.085528705419,162.770887819067,39.7635516273687,71.1771231361178,64.1276919826234,262.824203197759,21.7062785616751
